cas_number,alias_name,normalized_alias,source_type,source_ref
101-21-3,イソプロピル＝三―クロロカルバニラート,イソプロピル=三クロロカルバニラト,law_entry_raw_name,412CO0000000138:別表第一
101-21-3,クロルプロファム,クロルプロファム,law_entry_raw_name,412CO0000000138:別表第一
101-21-3,クロルプロファム,クロルプロファム,law_mapping_alias,412CO0000000138:別表第一
101-68-8,"Methylenebis(4,1-phenylene) diisocyanate [4'4-MDI]",methylenebisdiisocyanate[4'4mdi],regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
101-68-8,メチレンビス（四・一―フェニレン）＝ジイソシアネート,メチレンビス=ジイソシアネト,law_entry_raw_name,412CO0000000138:別表第一
101-68-8,メチレンビス（四・一―フェニレン）＝ジイソシアネート,メチレンビス=ジイソシアネト,law_mapping_exact_name,412CO0000000138:別表第一
101-68-8,"メチレンビス(4,1-フェニレン)=ジイソシアネート (別名；4'4-MDI)",メチレンビス=ジイソシアネト,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
101-83-7,ジシクロヘキシルアミン,ジシクロヘキシルアミン,law_entry_raw_name,340CO0000000002:Article 2
101-83-7,ジシクロヘキシルアミン,ジシクロヘキシルアミン,law_mapping_exact_name,340CO0000000002:Article 2
101-84-8,Diphenyl ether,diphenylether,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
101-84-8,ジフェニルエーテル,ジフェニルエテル,law_entry_raw_name,412CO0000000138:別表第二
101-84-8,ジフェニルエーテル,ジフェニルエテル,law_mapping_exact_name,412CO0000000138:別表第二
101-84-8,ジフェニルエーテル,ジフェニルエテル,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10102-45-1,硝酸タリウム,硝酸タリウム,law_entry_raw_name,340CO0000000002:Article 2
10102-45-1,硝酸タリウム,硝酸タリウム,law_mapping_exact_name,340CO0000000002:Article 2
10108-64-2,Cadmium(II) chloride,cadmiumchloride,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10108-64-2,Cadmium(II) chloride,cadmiumchloride,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,Cadmium chloride anhydrate,cadmiumchlorideanhydrate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10108-64-2,Cadmium chloride anhydrate,cadmiumchlorideanhydrate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,Cadmium dichloride,cadmiumdichloride,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10108-64-2,Cadmium dichloride,cadmiumdichloride,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,Dichlorocadmium,dichlorocadmium,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10108-64-2,Dichlorocadmium,dichlorocadmium,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,カドミウム及びその化合物,カドミウム及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10108-64-2,カドミウム及びその化合物,カドミウム及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,"ジクロロカドミウム,塩化カドミウム(II)","ジクロロカドミウム,塩化カドミウム",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,二塩化カドミウム,二塩化カドミウム,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10108-64-2,塩化カドミウム無水和物,塩化カドミウム無水和物,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10112-91-1,塩化第一水銀,塩化第一水銀,law_entry_raw_name,340CO0000000002:Article 2
10112-91-1,塩化第一水銀,塩化第一水銀,law_mapping_exact_name,340CO0000000002:Article 2
10124-36-4,Cadmium(II) sulfate,cadmiumsulfate,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
10124-36-4,Cadmium(II) sulfate,cadmiumsulfate,ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10124-36-4,カドミウム及びその化合物,カドミウム及びその化合物,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
10124-36-4,カドミウム及びその化合物,カドミウム及びその化合物,ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
10124-36-4,硫酸カドミウム,硫酸カドミウム,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
1014-70-6,"2,4-bis(ethylamino)-6-methylthio-1,3,5-triazine","2,4bis6methylthio1,3,5triazine",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
1014-70-6,２，４－ビス（エチルアミノ）－６－メチルチオ－１，３，５－トリアジン,"2,4ビス6メチルチオ1,3,5トリアジン",regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
1014-70-6,シメトリン,シメトリン,law_entry_raw_name,412CO0000000138:別表第一
1014-70-6,シメトリン,シメトリン,law_mapping_alias,412CO0000000138:別表第一
1014-70-6,二・四―ビス（エチルアミノ）―六―メチルチオ―一・三・五―トリアジン,二・四ビス六メチルチオ一・三・五トリアジン,law_entry_raw_name,412CO0000000138:別表第一
102-71-6,トリエタノールアミン,トリエタノルアミン,law_entry_raw_name,407CO0000000192:別表:三:precursor
102-71-6,トリエタノールアミン,トリエタノルアミン,law_mapping_exact_name,407CO0000000192:別表:三:precursor
102-82-9,Tributylamine,tributylamine,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
102-82-9,トリブチルアミン,トリブチルアミン,law_entry_raw_name,340CO0000000002:Article 1
102-82-9,トリブチルアミン,トリブチルアミン,law_entry_raw_name,412CO0000000138:別表第一
