law_code,source_id,group_legal_name,category_code,special_management,special_organic,match_kind,match_pattern,status,reviewed_by,source_url,note
ish,RJ_04_031,パラ－ニトロクロルベンゼン,tokka_class_2,0,0,name_regex,^p-ニトロクロロベンゼン$|^1-クロロ-4-ニトロベンゼン$|^4-クロロニトロベンゼン$|^p-クロロニトロベンゼン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号27
ish,RJ_04_031,パラ－ジメチルアミノアゾベンゼン,tokka_class_2,1,0,name_regex,^p-ジメチルアミノアゾベンゼン$|ジメチルアミノアゾベンゼン|ジメチルアミノフェニル\)ジアゼニル\]ベンゼン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号26
ish,RJ_04_031,３，３’－ジクロロ－４，４’－ジアミノジフェニルメタン,tokka_class_2,1,0,name_regex,"ジクロロ-4,4'-メチレンジアニリン|ジクロロ.*ジアミノジフェニルメタン|メチレンビス\(2-クロロアニリン\)|MOCA",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号19
ish,RJ_04_031,ジメチル－２，２－ジクロロビニルホスフェイト（ＤＤＶＰ）,tokka_class_2,1,0,name_regex,"リン酸ジメチル=2,2-ジクロロビニル|ジクロロビニル.*ホスフ|DDVP|ジクロルボス",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号19の4
ish,RJ_04_031,ベータ－プロピオラクトン,tokka_class_2,1,0,name_regex,^β-プロピオラクトン$|^オキセタン-2-オン$|^2-オキセタノン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号29
ish,RJ_04_031,ニトログリコール,tokka_class_2,0,0,name_regex,^二硝酸エチレングリコール$|^ニトログリコール$|^エチレングリコールジニトラート$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号25
ish,RJ_04_031,オーラミン,tokka_class_2,1,0,name_regex,"オーラミン|カルボンイミドイルビス\[N,N-ジメチル\]ベンゼンアミン|カルボンイミドイルビス\(N,N-ジメチルアニリン\)|イミノメチレン\)ビス\(N,N-ジメチルアニリン\)",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号8
ish,RJ_04_031,マゼンタ,tokka_class_2,1,0,name_regex,"マゼンタ|ベーシックバイオレット14|イミノ-3-メチルシクロヘキサ-2,5-ジエン-1-イリデン|イミノ-2,5-シクロヘキサジエン-1-イリデン\)メチル\]-2-メチルベンゼンアミン",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号32
ish,RJ_04_031,コールタール,tokka_class_2,1,0,name_regex,コールタール,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号14。含有率5 %超が対象
ish,RJ_04_031,リフラクトリーセラミックファイバー,tokka_class_2,1,0,name_regex,リフラクトリーセラミック|セラミックファイバー,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号34の3
ish,RJ_04_031,弗化水素,tokka_class_2,0,0,name_regex,^フッ化水素,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号28。フッ化水素酸を含む。含有率5 %超が対象
ish,RJ_04_031,塩素,tokka_class_2,0,0,name_regex,^二塩素$|^塩素$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号7
ish,RJ_04_031,硫化水素,tokka_class_2,0,0,name_regex,^硫化水素|^二硫化二水素$|^三硫化四水素$|^五硫化四水素$|^八硫化二水素$|λ\(6\)-スルファン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号35。多硫化水素を含む
ish,RJ_04_031,ベンゼン,tokka_class_2,1,0,name_regex,^\(\(2\)H6\)ベンゼン$|^ベンゼン$|^ベンゼン-d6$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号30。含有率は容量1 %超
ish,RJ_04_031,溶接ヒューム,tokka_class_2,0,0,name_regex,(?i)溶接ヒューム|welding,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号34の2
ish,RJ_04_031,塩化水素,tokka_class_3,0,0,name_regex,^塩酸$|^塩化水素$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第3号3
ish,RJ_04_031,アンモニア,tokka_class_3,0,0,name_regex,^水酸化アンモニウム$|^アンモニア水$|^アンモニア$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第3号1
ish,RJ_04_041,キシレン,organic_type_2,,,name_regex,^(o|m|p)-キシレン$|^キシレン$|ジメチルベンゼン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第11号（異性体）
ish,RJ_04_041,クレゾール,organic_type_2,,,name_regex,^(o|m|p)-クレゾール$|^クレゾール$|^[234]-メチルフェノール$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第12号（異性体）
ish,RJ_04_041,メチルシクロヘキサノール,organic_type_2,,,name_regex,メチルシクロヘキサノール$|メチルシクロヘキサン-1-オール$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第45号（異性体）
ish,RJ_04_041,メチルシクロヘキサノン,organic_type_2,,,name_regex,メチルシクロヘキサノン$|メチルシクロヘキサン-1-オン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第46号（異性体）
ish,RJ_04_041,コールタールナフサ（ソルベントナフサを含む。）,organic_type_3,,,name_regex,ソルベントナフサ|コールタールナフサ,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第49号
ish,RJ_04_041,ミネラルスピリツト（ミネラルシンナー、ペトロリウムスピリツト、ホワイトスピリツト及びミネラルターペンを含む。）,organic_type_3,,,name_regex,ストッダード溶剤|ミネラルスピリット|ホワイトスピリット|ミネラルターペン,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第54号
ish,RJ_04_041,石油ナフサ,organic_type_3,,,name_regex,水素化精製軽質留出物\(石油\)|石油ナフサ|軽質留出物,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第6の2第51号（石油系溶剤・第三種。品名の特定は要確認）
poison_control,RJ_03_001,四アルキル鉛,specific_poison,,,name_regex,テトラ(メチル|エチル|プロピル|ブチル)(鉛|プルンバン)|四アルキル鉛|四エチル鉛|四メチル鉛|(トリメチル|トリエチル|ジメチル|ジエチル)(エチル|メチル)?鉛,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/325AC0000000303,法律別表第3の2
poison_control,RJ_03_001,モノフルオール酢酸塩類及びこれを含有する製剤,specific_poison,,,name_regex,(?<!トリ)(?<!ジ)フルオロ酢酸(ナトリウム|カリウム|カルシウム|アンモニウム|バリウム|マグネシウム|リチウム|亜鉛|銀|銅|の.*塩)|(ナトリウム|カリウム|カルシウム|アンモニウム|バリウム|マグネシウム|リチウム|亜鉛|銀|銅)=(?<!トリ)(?<!ジ)フルオロアセタート|モノフルオ(ロ|ール)酢酸(ナトリウム|カリウム|カルシウム|アンモニウム|.*塩$),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第3条第1項第8号（塩類のみ; モノフルオール酢酸・同アミド・アニリド類は各自の行）
poison_control,RJ_03_001,無機シアン化合物及びこれを含有する製剤,poison,,,name_regex,(?i)^(?!.*(?:フェロシアン|フェリシアン|ヘキサシアニド鉄|ヘキサシアノ鉄|ヘキサシアニドフェラート|ヘキサシアノフェラート|紺青|プルシアン|ferrocyan|ferricyan|ferrate|^有機シアン|(アセチル|ベンゾイル|フロイル|アシル|ベンジル)=?シアニド|ベンジルシアニド|コビンアミド))(?=.*(?:シアン化(?!ビニル|アリル|ベンジル|メチル|エチル|プロピル|ブチル|フェニル|ビス)|シアニド|シアノ(水銀|金|銀|銅|亜鉛|カドミウム|ニッケル|コバルト|白金|パラジウム)(\([IV]+\))?酸|テトラシアノ|ヘキサシアノ|ヘキサシアニド|ジシアニド|プルンバン.*カルボニトリル|フッ化シアン|塩化シアン|臭化シアン|ヨウ化シアン|cyanide|\(cyano-C\)|argentate)),reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第8号。紺青・フェリシアン塩・フェロシアン塩を除く
poison_control,RJ_03_001,セレン化合物及びこれを含有する製剤,poison,,,name_regex,(?i)セレン|セレナ|セレニド|セレノ|セラン|セロン|セラニル|セレネニル|セレニン|selen,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第1項第18号。ハ（硫黄・カドミウム・セレンから成る焼結物）は除外: Cd-S-Se焼結顔料は焼結物であれば非該当
poison_control,RJ_03_001,砒素化合物及びこれを含有する製剤,poison,,,name_regex,"(?i)^(?!.*(?:砒化ガリウム|ヒ化ガリウム|galliumarsenide|砒化インジウム|ヒ化インジウム|indiumarsenide|ゲルマニウム.*セレン|セレン.*ゲルマニウム|メチルアルソン酸(カルシウム|鉄)|メタンアルソン酸(カルシウム|鉄)|カルシウム=ビス\(水素=メチルアルソナート\)|鉄.*メチルアルソナート|arsonicacid,methyl-,(calcium|iron)))(?=.*(?:ヒ素|砒素|ヒ酸|ヒ化|アルシン|アルシノ|アルソン|アルソノ|アルソナート|アルサン|ナルサジニン|キサルシン|アルシナート|アルソニウム|アルサ|アルセ|砒|ピグメントグリーン21|arsen|arson|arsin))",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第1条第1項第23号。ニ・ホ（メタンアルソン酸カルシウム・鉄）は劇物（第2条第98号の6/7）の別ルール; 砒化ガリウム等の除外を反映
poison_control,RJ_03_001,メタンアルソン酸カルシウム及びこれを含有する製剤,deleterious,,,name_regex,^カルシウム=ビス\(水素=メチルアルソナート\)$|メタンアルソン酸カルシウム|メチルアルソン酸カルシウム,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第2条第1項第98号の6（第1条第23号ニで砒素化合物から除外）
poison_control,RJ_03_001,メタンアルソン酸鉄及びこれを含有する製剤,deleterious,,,name_regex,^二鉄\(3\+\)=トリ\(メチルアルソナート\)$|メタンアルソン酸鉄|メチルアルソン酸鉄,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/340CO0000000002,指定令第2条第1項第98号の7（第1条第23号ホで砒素化合物から除外）
